ENROLL,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT
2318,RUSSELLVILLE SCHOOL DISTRICT,1995,10214,901,6871,2442,9903,5837,2492,1005,403
2860,GENEVA COUNTY SCHOOL DISTRICT,1995,11967,1244,8959,1764,11513,6629,3349,1196,240
1462,GENEVA CITY SCHOOL DIST,1995,6188,528,4193,1467,6093,3901,1118,587,298
2244,GREENE COUNTY SCHOOL DISTRICT,1995,11733,2241,7712,1780,10355,5653,2974,1609,87
3511,HALE COUNTY SCHOOL DISTRICT,1995,15306,2623,11018,1665,14630,8286,4079,1811,454
2823,HENRY COUNTY SCHOOL DISTRICT,1995,12600,1432,9103,2065,12545,7428,3368,1461,137
9641,DOTHAN CITY SCHOOL DISTRICT,1995,47811,5187,28841,13783,48123,27127,12841,6518,1028
5754,HOUSTON COUNTY SCHOOL DISTRICT,1995,24698,2378,16285,6035,25977,15150,6718,3037,815
6363,JACKSON COUNTY SCHOOL DISTRICT,1995,28617,3013,19460,6144,27892,14834,8438,3447,1055
2841,SCOTTSBORO CITY SCHOOL DISTRICT,1995,14282,984,9377,3921,13465,7594,3874,1475,462
4872,BESSEMER CITY SCHOOL DISTRICT,1995,23148,3257,15646,4245,23257,13276,6485,2394,1060
41839,BIRMINGHAM CITY SCHOOL DISTRICT,1995,195033,26108,118755,50170,203395,110995,64295,20965,7140
2308,FAIRFIELD CITY SCHOOL DISTRICT,1995,9962,996,6455,2511,12511,5538,3704,1108,2157
40422,JEFFERSON COUNTY SCHOOL DISTRICT,1995,188789,11358,117710,59721,202415,109396,48023,20395,20900
1445,TARRANT CITY SCHOOL DISTRICT,1995,7828,561,4854,2413,10585,4281,1911,710,3181
7671,HOOVER CITY SCHOOL DISTRICT,1995,51197,873,23449,26875,64197,24370,14432,3975,16636
3650,MT BROOK CITY SCHOOL DISTRICT,1995,23854,321,10608,12925,23129,13713,6329,1305,1056
3255,HOMEWOOD CITY SCHOOL DIST,1995,18018,513,9326,8179,17032,9836,4308,1624,667
1736,MIDFIELD CITY SCHOOL DIST,1995,8148,857,5425,1866,7903,4400,2049,797,657
4164,VESTAVIA HILLS CITY SCHOOL DISTRICT,1995,21707,377,11057,10273,21656,11739,5254,1244,2678
2991,LAMAR COUNTY SCHOOL DISTRICT,1995,13482,1069,9482,2931,11663,6724,3346,1279,183
4958,FLORENCE CITY SCHOOL DISTRICT,1995,45328,2894,14553,27881,28951,16485,7450,2391,1471
8490,LAUDERDALE COUNTY SCHOOL DISTRICT,1995,35440,2174,24883,8383,34260,19172,9919,3209,1770
6176,LAWRENCE COUNTY SCHOOL DISTRICT,1995,27301,3150,18266,5885,26650,15532,7450,2747,851
6750,LEE COUNTY SCHOOL DISTRICT,1995,41315,2202,18633,20480,35442,15060,7821,2985,8886
4542,OPELIKA CITY SCHS,1995,23332,1862,13282,8188,25703,12350,5866,1932,4854
3987,AUBURN CITY SCHOOL DIST,1995,21117,1222,11611,8284,23876,11690,6369,1799,4018
2915,ATHENS CITY SCHOOL DISTRICT,1995,19545,913,9024,9608,17624,9429,4169,1136,2628
7314,LIMESTONE COUNTY SCHOOL DISTRICT,1995,31979,2058,21278,8643,35133,18083,7941,3077,5396
2931,LOWNDES COUNTY SCHOOL DISTRICT,1995,14397,3853,9262,1282,14233,7742,4305,1915,259
4265,MACON COUNTY SCHOOL DISTRICT,1995,22379,4498,13079,4802,22301,12062,5639,2864,700
24184,HUNTSVILLE CITY SCHOOL DISTRICT,1995,127448,9020,71480,46948,138014,73611,40805,10330,13268
17191,MADISON COUNTY SCHOOL DISTRICT,1995,79480,4021,48870,26589,86502,40960,18805,5997,18271
2178,DEMOPOLIS CITY SCHOOL DISTRICT,1995,9020,1125,6135,1760,9281,5415,2289,1002,574
1997,MARENGO COUNTY SCHOOL DISTRICT,1995,9487,1470,6424,1593,8839,4850,2445,1147,81
705,LINDEN CITY SCHOOL DIST,1995,4072,731,2870,471,3663,2137,864,593,65
4087,MARION COUNTY SCHOOL DISTRICT,1995,16466,1271,12635,2560,15472,9361,4531,1249,182
1416,WINFIELD CITY SCHOOL DISTRICT,1995,5808,531,3967,1310,5122,3177,1079,725,141
6707,MARSHALL COUNTY SCHOOL DISTRICT,1995,30436,2754,20284,7398,30830,16480,8883,3594,1116
3118,ALBERTVILLE CITY SCHOOL DISTRICT,1995,13741,993,9475,3273,13733,7561,3610,1459,1092
2503,ARAB CIT SCHOOL DIST,1995,10308,490,7373,2445,9436,5948,2235,798,455
1624,GUNTERSVILLE CITY SCHOOL DIST,1995,8495,477,5381,2637,8055,4682,2213,774,334
64645,MOBILE COUNTY SCHOOL DISTRICT,1995,274190,37451,182829,53910,261093,156093,67062,24594,13064
5256,MONROE COUNTY SCHOOL DISTRICT,1995,21615,2259,15683,3673,20463,12730,4885,1993,769
34746,MONTGOMERY COUNTY SCHOOL DISTRICT,1995,145754,16838,100507,28409,137743,83216,38901,13570,1960
8592,DECATUR CITY SCHOOL DISTRICT,1995,47472,2635,25008,19829,47831,25776,14603,3757,2278
7427,MORGAN COUNTY SCHOOL DISTRICT,1995,36505,2541,22525,11439,38992,19732,11745,3563,2888
2916,HARTSELLE CITY SCHOOL DISTRICT,1995,14431,524,8904,5003,17375,8175,4108,1148,3942
2420,PERRY COUNTY SCHOOL DISTRICT,1995,11910,2404,8185,1321,11353,6223,3301,1474,334
3951,PICKENS COUNTY SCHOOL DISTRICT,1995,17265,2536,12751,1978,16503,9591,4455,1919,538
2576,PIKE COUNTY SCHOOL DISTRICT,1995,12734,2512,8160,2062,12565,6991,3758,1476,246
2257,TROY CITY SCHOOL DISTRICT,1995,10228,1259,6359,2610,10123,5851,2547,1046,352
